Time,Anomaly (deg C),Ensemble standard deviation (1 sigma),Coverage uncertainty (1 sigma),Total uncertainty (1 sigma)
1850,-0.39952648,0.090505034,0.078558065,0.11984377
1851,-0.24745059,0.10268615,0.07205232,0.12544315
1852,-0.2230961,0.093891785,0.076018095,0.12080736
1853,-0.2953167,0.08133112,0.060225315,0.101201974
1854,-0.408352,0.06946879,0.053940903,0.08795188
1855,-0.3482592,0.06377189,0.058535703,0.08656374
1856,-0.30716658,0.06520754,0.05733349,0.08682829
1857,-0.48306343,0.06614537,0.052740272,0.08459756
1858,-0.41892695,0.06742557,0.055153716,0.08710993
1859,-0.31474683,0.06787566,0.051700428,0.08532315
1860,-0.32129827,0.065425225,0.059118673,0.088178664
1861,-0.4530126,0.06450807,0.068610385,0.09417365
1862,-0.37122685,0.07191648,0.063255414,0.09577697
1863,-0.38732743,0.066734254,0.0771681,0.10202145
1864,-0.4692299,0.06954548,0.075850554,0.10290714
1865,-0.2976597,0.0661294,0.07795404,0.1022249
1866,-0.30879125,0.06920961,0.08183376,0.107176185
1867,-0.30883342,0.068201005,0.080974735,0.10586919
1868,-0.3452093,0.07280942,0.06643233,0.09856199
1869,-0.3843773,0.06301921,0.063180245,0.08923656
1870,-0.3437136,0.057769954,0.052593336,0.078124434
1871,-0.29620588,0.05688138,0.049622037,0.07548402
1872,-0.29906142,0.05934843,0.04999791,0.07760172
1873,-0.30706945,0.053612065,0.05007549,0.07336081
1874,-0.45276964,0.053024877,0.0505366,0.07325015
1875,-0.26752955,0.053995952,0.05262942,0.075401716
1876,-0.41325358,0.06055665,0.05239155,0.080074854
1877,-0.10085537,0.05932237,0.05195854,0.07885958
1878,-0.09384111,0.05656749,0.050863974,0.0760725
1879,-0.27102003,0.05630281,0.045025557,0.07209235
1880,-0.24766637,0.0556666,0.045204073,0.071708985
1881,-0.18044113,0.058011144,0.050127458,0.07666848
1882,-0.21808103,0.05184098,0.046244267,0.069469556
1883,-0.26588535,0.0495718,0.044859923,0.066856384
1884,-0.3501787,0.048822496,0.045393992,0.06666521
1885,-0.43261054,0.05420549,0.044467077,0.07011103
1886,-0.3963409,0.04743481,0.04724357,0.06694786
1887,-0.50335246,0.05409302,0.04804516,0.072349094
1888,-0.38630855,0.04401369,0.046217535,0.063822135
1889,-0.23932517,0.054503374,0.04725299,0.07213503
1890,-0.49004412,0.053919382,0.04720228,0.07166139
1891,-0.39072788,0.057236336,0.053534783,0.07837073
1892,-0.4390568,0.06043191,0.05557288,0.0820997
1893,-0.43251488,0.06460623,0.053957216,0.08417449
1894,-0.5249311,0.064326346,0.05402479,0.084003314
1895,-0.45238245,0.059461046,0.052418485,0.07926735
1896,-0.27457422,0.061824046,0.053579196,0.08181041
1897,-0.2680399,0.063135654,0.054916997,0.08367788
1898,-0.5411372,0.063749045,0.052138433,0.08235507
1899,-0.37782213,0.0640395,0.051127214,0.081945404
1900,-0.27106032,0.06801704,0.05253351,0.08594236
1901,-0.37191966,0.06504178,0.054007217,0.08454119
1902,-0.41805556,0.06277209,0.05156092,0.08123339
1903,-0.56152844,0.06070366,0.051407542,0.07954665
1904,-0.6167693,0.06102854,0.04958522,0.078633174
1905,-0.4121055,0.06388837,0.049105696,0.080579735
1906,-0.37793586,0.058947526,0.051169235,0.07805832
1907,-0.47162786,0.059057657,0.051426694,0.078310356
1908,-0.5499147,0.056509696,0.051077995,0.07617288
1909,-0.57780594,0.053238705,0.05215775,0.07453047
1910,-0.5706339,0.0551888,0.05215469,0.07593363
1911,-0.6252645,0.056996033,0.050822392,0.07636402
1912,-0.42106485,0.049388323,0.050086945,0.07034137
1913,-0.43961346,0.060941927,0.05297479,0.080748044
1914,-0.25608647,0.058884386,0.057040613,0.08198172
1915,-0.20816307,0.06698881,0.06419783,0.09278395
1916,-0.3969349,0.06611293,0.07390331,0.09915956
1917,-0.5015152,0.06830604,0.08349023,0.10787183
1918,-0.37980196,0.075816914,0.09163136,0.1189307
1919,-0.278756,0.07681504,0.086239345,0.11548929
1920,-0.28801098,0.0706361,0.0754326,0.10334184
1921,-0.31809315,0.06992525,0.0691033,0.09830975
1922,-0.37588054,0.062354628,0.057735283,0.08497919
1923,-0.380549,0.06415483,0.058268692,0.08666651
1924,-0.43143332,0.062589824,0.061236285,0.08756351
1925,-0.39629188,0.06193813,0.06385871,0.08896217
1926,-0.2437228,0.05932196,0.060625385,0.08482059
1927,-0.35196185,0.06244729,0.05859938,0.085636154
1928,-0.3261094,0.063964024,0.062891476,0.08970359
1929,-0.44891977,0.064586595,0.06484592,0.09152279
1930,-0.32359856,0.06458039,0.06614564,0.09244388
1931,-0.25265816,0.061170805,0.06299935,0.08781108
1932,-0.25348985,0.061415464,0.05570102,0.08291238
1933,-0.37963745,0.058949832,0.05747292,0.08232994
1934,-0.2952711,0.05689388,0.059644468,0.08242801
1935,-0.32556787,0.053135246,0.05962293,0.079863936
1936,-0.27804637,0.052441802,0.05302817,0.074579686
1937,-0.16016403,0.0578056,0.05708323,0.081240274
1938,-0.18388958,0.057857107,0.055655688,0.08028076
1939,-0.13498552,0.057105146,0.0661866,0.087416604
1940,0.029890874,0.060466364,0.077120215,0.097998515
1941,0.00076835766,0.11152363,0.08112432,0.1379082
1942,-0.057328977,0.11083475,0.08543905,0.13994347
1943,-0.099634245,0.12066454,0.08635544,0.14838192
1944,0.06814493,0.104649715,0.0979026,0.14330555
1945,0.002642223,0.10062134,0.104211144,0.14486068
1946,-0.22615156,0.0811019,0.071690865,0.108245544
1947,-0.22662048,0.08261674,0.061685942,0.103105195
1948,-0.24854377,0.07939077,0.062070154,0.10077499
1949,-0.22009224,0.06321309,0.06271968,0.0890486
1950,-0.26235095,0.06756264,0.05802141,0.08905725
1951,-0.1761571,0.054302808,0.057996318,0.07945041
1952,-0.039108276,0.059522893,0.06261256,0.086390436
1953,-0.051317606,0.057481017,0.06284381,0.08516696
1954,-0.2023827,0.05705939,0.056088872,0.080010846
1955,-0.26903242,0.04897181,0.056765873,0.07497068
1956,-0.24720186,0.050397303,0.03204602,0.05972299
1957,-0.034902032,0.045130655,0.019848833,0.04930266
1958,-0.11796081,0.04838217,0.022438565,0.0533322
1959,-0.14308532,0.045845225,0.023936847,0.051718056
1960,-0.23137054,0.04260352,0.022288071,0.04808137
1961,-0.03326399,0.039118923,0.018205844,0.043147918
1962,-0.17631456,0.040091205,0.023023106,0.04623168
1963,-0.14397602,0.039918598,0.021919804,0.045540884
1964,-0.35073146,0.032477614,0.014916952,0.035739485
1965,-0.21364318,0.036766022,0.01599678,0.040095355
1966,-0.20880918,0.034456767,0.017737472,0.038754184
1967,-0.19589992,0.031506386,0.017717784,0.036146536
1968,-0.1980263,0.035250958,0.016578393,0.038954757
1969,0.037604645,0.031133814,0.013125486,0.033787467
1970,-0.0477133,0.033299096,0.01619175,0.037027054
1971,-0.18290249,0.02850547,0.017544163,0.03347177
1972,0.062229194,0.030319039,0.015933871,0.03425102
1973,0.0782654,0.029972665,0.01468507,0.033376817
1974,-0.09544133,0.02740618,0.01836375,0.032989785
1975,-0.11062622,0.031889826,0.017536113,0.036393356
1976,-0.17986071,0.029309211,0.022740599,0.037096694
1977,0.1272066,0.031756904,0.020197656,0.037635703
1978,0.0224081,0.030116636,0.018484721,0.035336904
1979,0.15063521,0.021631127,0.01020269,0.023916533
1980,0.25283712,0.027299743,0.007733846,0.02837408
1981,0.16006088,0.023907743,0.011487167,0.026524236
1982,0.07840488,0.031880435,0.013245135,0.034522396
1983,0.25546375,0.029550062,0.010490594,0.031356957
1984,0.12563127,0.029991461,0.0097866105,0.03154783
1985,0.15148632,0.028157197,0.0076815593,0.029186197
1986,0.12935646,0.025654688,0.006707677,0.026517088
1987,0.29033786,0.024583872,0.006577393,0.025448553
1988,0.24864225,0.028410802,0.008869937,0.029763224
1989,0.14113335,0.02774507,0.01069247,0.029734118
1990,0.25713807,0.029872771,0.009423268,0.031323798
1991,0.2926021,0.029035125,0.006510739,0.029756146
1992,0.15288447,0.025766425,0.012549804,0.028660186
1993,0.13887216,0.030132784,0.012862537,0.032763235
1994,0.14387386,0.027927618,0.010802871,0.02994418
1995,0.18509625,0.025829287,0.010626316,0.027929746
1996,0.26163,0.025982413,0.010999457,0.02821478
1997,0.3098965,0.024894085,0.009269652,0.02656392
1998,0.4403418,0.026295487,0.010385199,0.028271982
1999,0.1726068,0.024040017,0.010519341,0.026240788
2000,0.17509349,0.025500637,0.010060051,0.027413264
2001,0.35031772,0.024124954,0.011976012,0.02693396
2002,0.41821876,0.023608856,0.009710895,0.025528016
2003,0.36786872,0.026597012,0.008614577,0.027957324
2004,0.3012516,0.024833867,0.0103911795,0.026920207
2005,0.38232562,0.021751039,0.008742028,0.023442073
2006,0.3503445,0.022815805,0.00809868,0.024210528
2007,0.35130018,0.02162772,0.0076841037,0.022952206
2008,0.25959548,0.024214832,0.009977691,0.026189929
2009,0.48682365,0.023032794,0.008109513,0.024418717
2010,0.44124317,0.0228168,0.008463973,0.024336088
2011,0.3500494,0.024762644,0.006855308,0.02569404
2012,0.3708825,0.025658742,0.009485254,0.027355824
2013,0.47047654,0.026108384,0.009450397,0.027766127
2014,0.4379493,0.026533986,0.0076290863,0.027608972
2015,0.5193882,0.023373708,0.007914088,0.024677176
2016,0.61066127,0.023921711,0.007210975,0.024984926
2017,0.57495165,0.023575047,0.00777164,0.024822997
2018,0.56564635,0.023487069,0.008678519,0.025039151
2019,0.63840175,0.025835617,0.0078698,0.027007643
2020,0.569861,0.024980059,0.009157349,0.026605645
2021,0.42214075,0.026432952,0.029411085,0.03954381
